,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,State_x,Governor,Sex,DOB,Inauguration_Date,Age_at_Inauguration,Time_In_Office,Current_Age,Party,Current_Age_Whole_Yrs,Current_Age_Added_Days,Current_Age_Years,NAME,POPESTIMATE2019,State_and_Other_Areas,TotalArea_SqMi,LandArea_SqMi,Location_x,2017_Median_HHI,Med_HHI_thousands,State_y,GDP_Millions,Pct_of_US,GDP_Billions,State,SAHO_Date_Announced,SAHO_Effective_Date,Location_y,Pct_Children_0to18,Pct_Adults_19to25,Pct_Adults_26to34,Pct_Adults_35to54,Pct_Adults_55to64,Pct_65Plus,DeathsPerMillion,Population_Density,Last_Update_Converted,DOB_Converted,Inauguration_Date_Converted,SAHO_Effective_Date_Converted,Gov_Age_at_Onset,Gov_Tenure_at_Onset,SAHO_Response_Time
0,Alabama,US,2020-07-25 04:47:52,32.3182,-86.9023,76005,1438,32510.0,42057.0,1,1550.1148743112894,628984.0,9157.0,1.8919807907374515,84000001,USA,12828.069917818722,12.047891586079864,Alabama,Kay Ivey,F,10/15/1944,4/10/2017,"72 years, 177 days","3 years, 107 days","75 years, 285 days",Republican,75,285,75.78082192,Alabama,4903185,Alabama,52420,50645,Alabama,"$48,123 ",48.12,Alabama,"234,054",1.1,234.054,Alabama,3-Apr,4/4/2020,Alabama,24,9,12,25,14,17,293.2787565633359,96.81478921907394,2020-07-25 04:47:52,1944-10-15 00:00:00,2017-04-10 00:00:00,2020-04-04 00:00:00,75.26780152912106,33.38056222920388,74.0
1,Alaska,US,2020-07-25 04:47:52,61.3707,-152.4044,2249,19,800.0,1430.0,2,307.4315318948253,200572.0,,0.8448199199644286,84000002,USA,27417.58880178253,,Alaska,Mike Dunleavy,M,5/5/1961,12/3/2018,"57 years, 212 days","1 year, 236 days","59 years, 82 days",Republican,59,82,59.22465753,Alaska,731545,Alaska,665384,570641,Alaska,"$73,181 ",73.18,Alaska,"55,759",0.3,55.75899999999999,Alaska,27-Mar,3/28/2020,Alaska,27,9,13,26,13,12,25.972428216992803,1.2819706260153056,2020-07-25 04:47:52,1961-05-05 00:00:00,2018-12-03 00:00:00,2020-03-28 00:00:00,58.71441576486855,13.601922010718907,67.0
2,Arizona,US,2020-07-25 04:47:52,33.7298,-111.4312,156301,3143,20171.0,132987.0,4,2147.3702027431477,836817.0,7461.0,2.0108636541033005,84000004,USA,11496.765157925496,4.773481935496254,Arizona,Doug Ducey,M,4/9/1964,1/5/2015,"50 years, 271 days","5 years, 203 days","56 years, 108 days",Republican,56,108,56.29589041,Arizona,7278717,Arizona,113990,113594,Arizona,"$56,581 ",56.58,Arizona,"372,522",1.7,372.522,Arizona,30-Mar,3/31/2020,Arizona,24,9,12,24,12,18,431.80686926006325,64.07659735549413,2020-07-25 04:47:52,1964-04-09 00:00:00,2015-01-05 00:00:00,2020-03-31 00:00:00,55.784855267390846,60.51869648247397,70.0
3,Arkansas,US,2020-07-25 04:47:52,34.9697,-92.3731,37249,394,29827.0,7028.0,5,1234.3081260413198,461464.0,2361.0,1.0577465166850115,84000005,USA,15291.384066029468,6.338425192622621,Arkansas,Asa Hutchinson,M,12/3/1950,1/13/2015,"64 years, 41 days","5 years, 195 days","69 years, 236 days",Republican,69,236,69.64657534,Arkansas,3017804,Arkansas,53179,52035,Arkansas,"$45,869 ",45.87,Arkansas,"135,225",0.6,135.225,Arkansas,,,Arkansas,25,9,12,25,13,17,130.55851208362108,57.99565676948208,2020-07-25 04:47:52,1950-12-03 00:00:00,2015-01-13 00:00:00,2020-07-24 00:00:00,69.1348898334668,60.25585740980308,185.0
4,California,US,2020-07-25 04:47:52,36.1162,-119.6816,440185,8337,,431848.0,6,1114.0476707676005,6915876.0,,1.8939763962879244,84000006,USA,17503.130613531917,,California,Gavin Newsom,M,10/10/1967,1/7/2019,"51 years, 89 days","1 year, 201 days","52 years, 290 days",Democratic,52,290,52.79452055,California,39512223,California,163695,155779,California,"$71,805 ",71.81,California,"3,183,251",14.6,3183.2509999999997,California,19-Mar,3/19/2020,California,24,9,14,26,12,14,210.99799927733756,253.6428080806784,2020-07-25 04:47:52,1967-10-10 00:00:00,2019-01-07 00:00:00,2020-03-19 00:00:00,52.28307220545254,12.452001067783733,58.0
5,Colorado,US,2020-07-25 04:47:52,39.0598,-105.3111,42962,1790,5122.0,36050.0,8,746.0317680824402,470877.0,6149.0,4.166472696801825,84000008,USA,8176.742257328691,14.312648386946607,Colorado,Jared Polis,M,5/12/1975,1/8/2019,"43 years, 241 days","1 year, 200 days","45 years, 75 days",Democratic,45,75,45.20547945,Colorado,5758736,Colorado,104094,103642,Colorado,"$69,117 ",69.12,Colorado,"396,367",1.8,396.36699999999996,Colorado,26-Mar,3/26/2020,Colorado,24,9,14,26,13,14,310.8320992662279,55.56372899017773,2020-07-25 04:47:52,1975-05-12 00:00:00,2019-01-08 00:00:00,2020-03-26 00:00:00,44.69633188908739,12.419146183699871,65.0
6,Connecticut,US,2020-07-25 04:47:52,41.5978,-72.7554,48776,4413,8516.0,35847.0,9,1368.0806061335315,713072.0,10712.0,9.04748236837789,84000009,USA,20000.4095041998,21.961620469083158,Connecticut,Ned Lamont,M,1/3/1954,1/9/2019,"65 years, 6 days","1 year, 199 days","66 years, 205 days",Democratic,66,205,66.56164384,Connecticut,3565287,Connecticut,5543,4842,Connecticut,"$74,168 ",74.17,Connecticut,"288,985",1.3,288.985,Connecticut,20-Mar,3/23/2020,Connecticut,22,8,11,27,15,17,1237.7685162512864,736.3252788104089,2020-07-25 04:47:52,1954-01-03 00:00:00,2019-01-09 00:00:00,2020-03-23 00:00:00,66.04926863659075,12.386291299616008,62.0
7,Delaware,US,2020-07-25 04:47:52,39.3185,-75.5071,14202,578,7936.0,5688.0,10,1458.4642685496692,164326.0,,4.0698493169976055,84000010,USA,16875.34145850535,,Delaware,John Carney,M,5/20/1956,1/17/2017,"60 years, 242 days","3 years, 191 days","64 years, 67 days",Democratic,64,67,64.18356164,Delaware,973764,Delaware,2489,1949,Delaware,"$62,852 ",62.85,Delaware,"76,410",0.4,76.41,Delaware,22-Mar,3/24/2020,Delaware,22,8,12,25,14,19,593.5729807222284,499.6223704463828,2020-07-25 04:47:52,1956-05-20 00:00:00,2017-01-17 00:00:00,2020-03-24 00:00:00,63.672765354524735,36.107517608164436,63.0
8,Florida,US,2020-07-25 04:47:52,27.7663,-81.6868,402312,5653,,396659.0,12,1873.158238225936,3276636.0,23575.0,1.4051283580902385,84000012,USA,15255.964816032527,5.859879894211457,Florida,Ron DeSantis,M,9/14/1978,1/8/2019,"40 years, 116 days","1 year, 200 days","41 years, 316 days",Republican,41,316,41.86575342,Florida,21477737,Florida,65758,53625,Florida,"$52,594 ",52.59,Florida,"1,111,378",5.1,1111.378,Florida,1-Apr,4/3/2020,Florida,21,8,12,25,14,21,263.2027759721613,400.5172400932401,2020-07-25 04:47:52,1978-09-14 00:00:00,2019-01-08 00:00:00,2020-04-03 00:00:00,41.35334743355442,12.419146183699871,73.0
9,Georgia,US,2020-07-25 04:47:52,33.0406,-83.6431,161420,3443,,157977.0,13,1520.3312517547809,1382444.0,16752.0,2.1329451121298475,84000013,USA,13020.52296494168,10.377896171478133,Georgia,Brian Kemp,M,11/2/1963,1/14/2019,"55 years, 73 days","1 year, 194 days","56 years, 267 days",Republican,56,267,56.73150685,Georgia,10617423,Georgia,59425,57513,Georgia,"$56,183 ",56.18,Georgia,"625,329",2.9,625.3290000000001,Georgia,2-Apr,4/3/2020,Georgia,26,9,12,27,12,14,324.2783112248612,184.60909707370507,2020-07-25 04:47:52,1963-11-02 00:00:00,2019-01-14 00:00:00,2020-04-03 00:00:00,56.220182481502015,12.222016879196698,73.0
