Rank,Population_Density_2014,Density_Units,County ,State, Population_2014
1,1774.1,people / sq mi,Mecklenburg,NC,968500
2,1111,people / sq mi,Wake,NC,952513
3,948.2,people / sq mi,Durham,NC,282422
4,867.8,people / sq mi,Forsyth,NC,358130
5,761.7,people / sq mi,Guilford,NC,500899
6,638.6,people / sq mi,New Hanover,NC,209586
7,572.3,people / sq mi,Gaston,NC,208379
8,507.2,people / sq mi,Cabarrus,NC,184855
9,492.1,people / sq mi,Cumberland,NC,324002
10,373.6,people / sq mi,Catawba,NC,154457
11,370.5,people / sq mi,Buncombe,NC,244599
12,353.6,people / sq mi,Alamance,NC,153713
13,342,people / sq mi,Orange,NC,137275
14,327.4,people / sq mi,Union,NC,209387
15,289.5,people / sq mi,Henderson,NC,108642
16,288.4,people / sq mi,Davidson,NC,163545
17,273.1,people / sq mi,Iredell,NC,162999
18,264,people / sq mi,Rowan,NC,138246
19,263.3,people / sq mi,Pitt,NC,172438
20,257.4,people / sq mi,Lincoln,NC,79041
21,228.1,people / sq mi,Lee,NC,59096
22,222.8,people / sq mi,Wayne,NC,124093
23,220.4,people / sq mi,Johnston,NC,175343
24,218.1,people / sq mi,Wilson,NC,81499
25,208.1,people / sq mi,Cleveland,NC,97464
26,202.5,people / sq mi,Harnett,NC,121789
27,201.9,people / sq mi,Onslow,NC,182921
28,180.2,people / sq mi,Randolph,NC,142276
29,175.3,people / sq mi,Nash,NC,95174
30,175.1,people / sq mi,Burke,NC,90164
31,173.2,people / sq mi,Caldwell,NC,82140
32,166.8,people / sq mi,Vance,NC,44998
33,165.6,people / sq mi,Watauga,NC,51903
34,161.7,people / sq mi,Rockingham,NC,92602
35,155,people / sq mi,Davie,NC,41411
36,149.6,people / sq mi,Stanly,NC,60553
37,146.7,people / sq mi,Lenoir,NC,59095
38,141.9,people / sq mi,Robeson,NC,134913
39,141,people / sq mi,Alexander,NC,37175
40,139,people / sq mi,Pasquotank,NC,40233
41,136.8,people / sq mi,Surry,NC,73391
42,135.1,people / sq mi,Craven,NC,104574
43,128.3,people / sq mi,Moore,NC,90579
44,127.5,people / sq mi,Hoke,NC,50034
45,124.8,people / sq mi,Franklin,NC,61723
46,118.7,people / sq mi,Rutherford,NC,67181
47,112.9,people / sq mi,Yadkin,NC,38101
48,112.5,people / sq mi,Scotland,NC,36034
49,110.1,people / sq mi,Edgecombe,NC,55779
50,108,people / sq mi,Granville,NC,57955
51,107.5,people / sq mi,Brunswick,NC,112907
52,106.4,people / sq mi,Haywood,NC,59012
53,102.8,people / sq mi,Stokes,NC,46858
54,100.9,people / sq mi,Mcdowell,NC,44982
55,97.3,people / sq mi,Person,NC,39303
56,96.5,people / sq mi,Richmond,NC,46317
57,93.1,people / sq mi,Chatham,NC,66050
58,91.3,people / sq mi,Wilkes,NC,69093
59,86.6,people / sq mi,Transylvania,NC,32943
60,85.3,people / sq mi,Polk,NC,20352
61,82.1,people / sq mi,Jackson,NC,40598
62,80.2,people / sq mi,Greene,NC,21353
63,73.6,people / sq mi,Halifax,NC,53803
64,72.4,people / sq mi,Duplin,NC,59455
65,71.8,people / sq mi,Avery,NC,17739
66,69.3,people / sq mi,Mitchell,NC,15380
67,67.9,people / sq mi,Hertford,NC,24460
68,67.4,people / sq mi,Sampson,NC,63842
69,65.1,people / sq mi,Macon,NC,33840
70,63.3,people / sq mi,Ashe,NC,27173
71,63,people / sq mi,Chowan,NC,14703
72,60.3,people / sq mi,Columbus,NC,57512
73,58.2,people / sq mi,Cherokee,NC,27156
74,58.1,people / sq mi,Pender,NC,54218
75,56.4,people / sq mi,Yancey,NC,17662
76,55.1,people / sq mi,Montgomery,NC,27626
77,54.5,people / sq mi,Caswell,NC,23357
78,51.9,people / sq mi,Martin,NC,23947
79,50.6,people / sq mi,Carteret,NC,67851
80,49.7,people / sq mi,Beaufort,NC,47587
81,49,people / sq mi,Anson,NC,26309
82,48.1,people / sq mi,Clay,NC,10616
83,46.5,people / sq mi,Warren,NC,20628
84,46.4,people / sq mi,Madison,NC,20951
85,46.4,people / sq mi,Alleghany,NC,10974
86,46,people / sq mi,Currituck,NC,24212
87,41.1,people / sq mi,Perquimans,NC,13507
88,39.4,people / sq mi,Bladen,NC,34915
89,38.7,people / sq mi,Northampton,NC,21310
90,34.4,people / sq mi,Gates,NC,11877
91,32.6,people / sq mi,Camden,NC,10127
92,30.3,people / sq mi,Washington,NC,12837
93,29,people / sq mi,Graham,NC,8743
94,27.9,people / sq mi,Bertie,NC,20677
95,26,people / sq mi,Swain,NC,14070
96,23,people / sq mi,Pamlico,NC,13062
97,22.1,people / sq mi,Dare,NC,34530
98,21.5,people / sq mi,Jones,NC,10184
99,7.1,people / sq mi,Tyrrell,NC,4219
100,4,people / sq mi,Hyde,NC,5757
