State,Governor,Sex,DOB,Inauguration_Date,Age_at_Inauguration,Time_In_Office,Current_Age,Party,Current_Age_Whole_Yrs,Current_Age_Added_Days,Current_Age_Years
Alabama,Kay Ivey,F,10/15/1944,4/10/2017,"72 years, 177 days","3 years, 107 days","75 years, 285 days",Republican,75,285,75.78082192
Alaska,Mike Dunleavy,M,5/5/1961,12/3/2018,"57 years, 212 days","1 year, 236 days","59 years, 82 days",Republican,59,82,59.22465753
Arizona,Doug Ducey,M,4/9/1964,1/5/2015,"50 years, 271 days","5 years, 203 days","56 years, 108 days",Republican,56,108,56.29589041
Arkansas,Asa Hutchinson,M,12/3/1950,1/13/2015,"64 years, 41 days","5 years, 195 days","69 years, 236 days",Republican,69,236,69.64657534
California,Gavin Newsom,M,10/10/1967,1/7/2019,"51 years, 89 days","1 year, 201 days","52 years, 290 days",Democratic,52,290,52.79452055
Colorado,Jared Polis,M,5/12/1975,1/8/2019,"43 years, 241 days","1 year, 200 days","45 years, 75 days",Democratic,45,75,45.20547945
Connecticut,Ned Lamont,M,1/3/1954,1/9/2019,"65 years, 6 days","1 year, 199 days","66 years, 205 days",Democratic,66,205,66.56164384
Delaware,John Carney,M,5/20/1956,1/17/2017,"60 years, 242 days","3 years, 191 days","64 years, 67 days",Democratic,64,67,64.18356164
Florida,Ron DeSantis,M,9/14/1978,1/8/2019,"40 years, 116 days","1 year, 200 days","41 years, 316 days",Republican,41,316,41.86575342
Georgia,Brian Kemp,M,11/2/1963,1/14/2019,"55 years, 73 days","1 year, 194 days","56 years, 267 days",Republican,56,267,56.73150685
Hawaii,David Ige,M,1/15/1957,12/1/2014,"57 years, 320 days","5 years, 238 days","63 years, 193 days",Democratic,63,193,63.52876712
Idaho,Brad Little,M,2/15/1954,1/6/2019,"64 years, 325 days","1 year, 202 days","66 years, 162 days",Republican,66,162,66.44383562
Illinois,J. B. Pritzker,M,1/19/1965,1/14/2019,"53 years, 360 days","1 year, 194 days","55 years, 189 days",Democratic,55,189,55.51780822
Indiana,Eric Holcomb,M,5/2/1968,1/9/2017,"48 years, 252 days","3 years, 199 days","52 years, 85 days",Republican,52,85,52.23287671
Iowa,Kim Reynolds,F,8/4/1959,5/24/2017,"57 years, 293 days","3 years, 63 days","60 years, 357 days",Republican,60,357,60.97808219
